time	V(clk)	V(d)	V(q)	V(r)
1.100019532093545e-007	8.422316e-002	1.800000e+000	-8.959921e-002	0.000000e+000
1.100020000000000e-007	0.000000e+000	1.800000e+000	-9.398026e-002	0.000000e+000
1.100020094953657e-007	0.000000e+000	1.800000e+000	-9.375764e-002	0.000000e+000
1.100020284860969e-007	0.000000e+000	1.800000e+000	-9.331372e-002	0.000000e+000
1.100020664675595e-007	0.000000e+000	1.800000e+000	-9.243222e-002	0.000000e+000
1.100021424304846e-007	0.000000e+000	1.800000e+000	-9.069484e-002	0.000000e+000
1.100022943563348e-007	0.000000e+000	1.800000e+000	-8.731966e-002	0.000000e+000
1.100025982080353e-007	0.000000e+000	1.800000e+000	-8.094545e-002	0.000000e+000
1.100032059114362e-007	0.000000e+000	1.800000e+000	-6.954343e-002	0.000000e+000
1.100044213182380e-007	0.000000e+000	1.800000e+000	-5.112415e-002	0.000000e+000
1.100068521318417e-007	0.000000e+000	1.800000e+000	-2.637924e-002	0.000000e+000
1.100117137590489e-007	0.000000e+000	1.800000e+000	-2.300728e-003	0.000000e+000
1.100214370134635e-007	0.000000e+000	1.800000e+000	1.163259e-002	0.000000e+000
1.100304050756421e-007	0.000000e+000	1.800000e+000	1.171385e-002	0.000000e+000
1.100466752276483e-007	0.000000e+000	1.800000e+000	6.365147e-003	0.000000e+000
1.100663865882272e-007	0.000000e+000	1.800000e+000	1.455974e-003	0.000000e+000
1.100876485569722e-007	0.000000e+000	1.800000e+000	-8.405221e-004	0.000000e+000
1.101108122704652e-007	0.000000e+000	1.800000e+000	-1.005800e-003	0.000000e+000
1.101371700682490e-007	0.000000e+000	1.800000e+000	-6.595493e-004	0.000000e+000
1.101553166735447e-007	0.000000e+000	1.800000e+000	-4.782472e-004	0.000000e+000
1.101782259241156e-007	0.000000e+000	1.800000e+000	-2.733990e-004	0.000000e+000
1.102016223077843e-007	0.000000e+000	1.800000e+000	-1.276121e-004	0.000000e+000
1.102301329629365e-007	0.000000e+000	1.800000e+000	-6.533593e-005	0.000000e+000
1.102582368381200e-007	0.000000e+000	1.800000e+000	-9.314094e-005	0.000000e+000
1.102880657331672e-007	0.000000e+000	1.800000e+000	-8.438685e-005	0.000000e+000
1.103108539531044e-007	0.000000e+000	1.800000e+000	4.458610e-005	0.000000e+000
1.103313847105104e-007	0.000000e+000	1.800000e+000	1.283261e-004	0.000000e+000
1.103536616307434e-007	0.000000e+000	1.800000e+000	5.135038e-005	0.000000e+000
1.103792524081963e-007	0.000000e+000	1.800000e+000	-3.543139e-005	0.000000e+000
1.104062081359031e-007	0.000000e+000	1.800000e+000	-3.163584e-005	0.000000e+000
1.104601195913166e-007	0.000000e+000	1.800000e+000	-1.034195e-005	0.000000e+000
1.105478034584965e-007	0.000000e+000	1.800000e+000	-2.649303e-006	0.000000e+000
1.106478034584965e-007	0.000000e+000	1.800000e+000	5.879770e-008	0.000000e+000
1.107478034584965e-007	0.000000e+000	1.800000e+000	-7.817516e-008	0.000000e+000
1.108478034584965e-007	0.000000e+000	1.800000e+000	8.370057e-008	0.000000e+000
1.109478034584965e-007	0.000000e+000	1.800000e+000	-5.037896e-008	0.000000e+000
1.110478034584965e-007	0.000000e+000	1.800000e+000	6.311154e-008	0.000000e+000
1.111478034584965e-007	0.000000e+000	1.800000e+000	-3.509945e-008	0.000000e+000
1.112478034584965e-007	0.000000e+000	1.800000e+000	4.881031e-008	0.000000e+000
1.113478034584965e-007	0.000000e+000	1.800000e+000	-2.345769e-008	0.000000e+000
1.114478034584965e-007	0.000000e+000	1.800000e+000	3.781801e-008	0.000000e+000
1.115478034584965e-007	0.000000e+000	1.800000e+000	-1.457437e-008	0.000000e+000
1.116478034584965e-007	0.000000e+000	1.800000e+000	2.962338e-008	0.000000e+000
1.117478034584965e-007	0.000000e+000	1.800000e+000	-8.000839e-009	0.000000e+000
1.118478034584964e-007	0.000000e+000	1.800000e+000	2.361487e-008	0.000000e+000
1.119478034584964e-007	0.000000e+000	1.800000e+000	-3.209379e-009	0.000000e+000
1.133478034584964e-007	0.000000e+000	1.800000e+000	8.166310e-009	0.000000e+000
1.136478034584963e-007	0.000000e+000	1.800000e+000	1.413859e-008	0.000000e+000
1.145335177442106e-007	0.000000e+000	1.800000e+000	1.266735e-008	0.000000e+000
1.154192320299248e-007	0.000000e+000	1.800000e+000	1.154669e-008	0.000000e+000
1.163049463156391e-007	0.000000e+000	1.800000e+000	1.077663e-008	0.000000e+000
1.171906606013533e-007	0.000000e+000	1.800000e+000	1.035717e-008	0.000000e+000
1.180763748870676e-007	0.000000e+000	1.800000e+000	1.028830e-008	0.000000e+000
1.189620891727818e-007	0.000000e+000	1.800000e+000	1.057003e-008	0.000000e+000
1.198478034584961e-007	0.000000e+000	1.800000e+000	1.120235e-008	0.000000e+000
1.199000000000000e-007	0.000000e+000	1.800000e+000	-6.308982e-008	0.000000e+000
